Entity,Code,Year,Global total private investment in AI
China,CHN,2013,717196188
China,CHN,2014,771392286
China,CHN,2015,2385249620
China,CHN,2016,5102962786
China,CHN,2017,7314146469
China,CHN,2018,15069709689
China,CHN,2019,14895814146
China,CHN,2020,17871571071
China,CHN,2021,25891135000
China,CHN,2022,13951917633
China,CHN,2023,8419883187
China,CHN,2024,8025155207
Europe,,2013,763586698
Europe,,2014,1489116730
Europe,,2015,975011991
Europe,,2016,1392650570
Europe,,2017,2861612692
Europe,,2018,3240709029
Europe,,2019,6714982937
Europe,,2020,6493127567
Europe,,2021,14647912430
Europe,,2022,13689530127
Europe,,2023,10796100264
Europe,,2024,16773833138
United States,USA,2013,4211478853
United States,USA,2014,7963123550
United States,USA,2015,10632666466
United States,USA,2016,11464266116
United States,USA,2017,15548779065
United States,USA,2018,22716603682
United States,USA,2019,33994612650
United States,USA,2020,46294130633
United States,USA,2021,86855559400
United States,USA,2022,56651417954
United States,USA,2023,64353633104
United States,USA,2024,94222887831
World,OWID_WRL,2013,6013620118
World,OWID_WRL,2014,10942456130
World,OWID_WRL,2015,15262405407
World,OWID_WRL,2016,19339919451
World,OWID_WRL,2017,28432394624
World,OWID_WRL,2018,46509286091
World,OWID_WRL,2019,61664788424
World,OWID_WRL,2020,77256670048
World,OWID_WRL,2021,145400000000
World,OWID_WRL,2022,104636243924
World,OWID_WRL,2023,92789053936
World,OWID_WRL,2024,130255020381